uf,data,preco_medio,desvio_padrao
ALAGOAS,2004-08-08,2.215,0.041
BAHIA,2004-08-08,2.221,0.09
CEARA,2004-08-08,2.29,0.061
MARANHAO,2004-08-08,2.182,0.14400000000000002
PARAIBA,2004-08-08,2.081,0.06
PERNAMBUCO,2004-08-08,2.148,0.07400000000000001
PIAUI,2004-08-08,2.208,0.048
RIO GRANDE DO NORTE,2004-08-08,2.105,0.056
SERGIPE,2004-08-08,2.119,0.034
ACRE,2004-08-08,2.541,0.177
AMAPA,2004-08-08,2.401,0.123
AMAZONAS,2004-08-08,2.205,0.078
PARA,2004-08-08,2.424,0.157
RONDONIA,2004-08-08,2.462,0.123
RORAIMA,2004-08-08,2.136,0.029
TOCANTINS,2004-08-08,2.263,0.061
ESPIRITO SANTO,2004-08-08,2.13,0.08
MINAS GERAIS,2004-08-08,2.122,0.096
RIO DE JANEIRO,2004-08-08,2.171,0.108
SAO PAULO,2004-08-08,2.0340000000000003,0.09
PARANA,2004-08-08,2.16,0.085
RIO GRANDE DO SUL,2004-08-08,2.292,0.1
SANTA CATARINA,2004-08-08,2.201,0.055
DISTRITO FEDERAL,2004-08-15,2.12,0.013
GOIAS,2004-08-15,2.14,0.063
MATO GROSSO,2004-08-15,2.548,0.07400000000000001
MATO GROSSO DO SUL,2004-08-15,2.317,0.038
ALAGOAS,2004-08-15,2.209,0.041
BAHIA,2004-08-15,2.227,0.094
CEARA,2004-08-15,2.2840000000000003,0.065
MARANHAO,2004-08-15,2.188,0.129
PARAIBA,2004-08-15,2.094,0.044
PERNAMBUCO,2004-08-15,2.148,0.07200000000000001
PIAUI,2004-08-15,2.213,0.04
RIO GRANDE DO NORTE,2004-08-15,2.11,0.05
SERGIPE,2004-08-15,2.125,0.032
ACRE,2004-08-15,2.549,0.163
AMAPA,2004-08-15,2.403,0.125
AMAZONAS,2004-08-15,2.234,0.07200000000000001
PARA,2004-08-15,2.423,0.15
RONDONIA,2004-08-15,2.469,0.118
RORAIMA,2004-08-15,2.138,0.025
TOCANTINS,2004-08-15,2.2840000000000003,0.055
ESPIRITO SANTO,2004-08-15,2.131,0.087
MINAS GERAIS,2004-08-15,2.126,0.098
RIO DE JANEIRO,2004-08-15,2.178,0.105
SAO PAULO,2004-08-15,2.036,0.08900000000000001
PARANA,2004-08-15,2.162,0.081
RIO GRANDE DO SUL,2004-08-15,2.289,0.108
SANTA CATARINA,2004-08-15,2.207,0.051
DISTRITO FEDERAL,2004-08-22,2.15,0.026
GOIAS,2004-08-22,2.148,0.068
MATO GROSSO,2004-08-22,2.56,0.066
MATO GROSSO DO SUL,2004-08-22,2.319,0.04
ALAGOAS,2004-08-22,2.212,0.042
BAHIA,2004-08-22,2.228,0.08900000000000001
CEARA,2004-08-22,2.279,0.081
MARANHAO,2004-08-22,2.1790000000000003,0.131
PARAIBA,2004-08-22,2.091,0.048
PERNAMBUCO,2004-08-22,2.152,0.073
PIAUI,2004-08-22,2.208,0.048
RIO GRANDE DO NORTE,2004-08-22,2.116,0.049
SERGIPE,2004-08-22,2.122,0.036000000000000004
ACRE,2004-08-22,2.552,0.162
AMAPA,2004-08-22,2.406,0.124
AMAZONAS,2004-08-22,2.238,0.078
PARA,2004-08-22,2.42,0.139
RONDONIA,2004-08-22,2.464,0.127
RORAIMA,2004-08-22,2.147,0.022
TOCANTINS,2004-08-22,2.289,0.057
ESPIRITO SANTO,2004-08-22,2.122,0.092
MINAS GERAIS,2004-08-22,2.127,0.097
RIO DE JANEIRO,2004-08-22,2.178,0.108
SAO PAULO,2004-08-22,2.035,0.091
PARANA,2004-08-22,2.16,0.058
RIO GRANDE DO SUL,2004-08-22,2.283,0.12
SANTA CATARINA,2004-08-22,2.207,0.049
DISTRITO FEDERAL,2004-08-29,2.149,0.019
GOIAS,2004-08-29,2.148,0.066
MATO GROSSO,2004-08-29,2.5610000000000004,0.07
MATO GROSSO DO SUL,2004-08-29,2.319,0.037000000000000005
ALAGOAS,2004-08-29,2.209,0.041
BAHIA,2004-08-29,2.226,0.094
CEARA,2004-08-29,2.273,0.09
MARANHAO,2004-08-29,2.191,0.131
PARAIBA,2004-08-29,2.092,0.048
PERNAMBUCO,2004-08-29,2.147,0.079
PIAUI,2004-08-29,2.209,0.056
RIO GRANDE DO NORTE,2004-08-29,2.113,0.05
SERGIPE,2004-08-29,2.121,0.035
ACRE,2004-08-29,2.5580000000000003,0.16399999999999998
AMAPA,2004-08-29,2.405,0.124
AMAZONAS,2004-08-29,2.251,0.064
PARA,2004-08-29,2.43,0.14400000000000002
RONDONIA,2004-08-29,2.4730000000000003,0.12
RORAIMA,2004-08-29,2.146,0.021
TOCANTINS,2004-08-29,2.305,0.07
ESPIRITO SANTO,2004-08-29,2.12,0.093
MINAS GERAIS,2004-08-29,2.126,0.1
RIO DE JANEIRO,2004-08-29,2.181,0.102
