TP_ESCOLA,TP_ENSINO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_STATUS_REDACAO,NU_NOTA_REDACAO
2,3.0,PA,25.0,F,1.0,3,508.8,609.4,449.0,485.4,1.0,400.0
1,1.0,SP,25.0,M,0.0,3,545.0,562.1,587.4,484.5,1.0,560.0
1,1.0,SP,23.0,F,1.0,2,459.4,663.0,618.2,637.1,1.0,640.0
1,3.0,GO,40.0,M,1.0,3,511.4,450.5,568.1,422.8,6.0,0.0
1,1.0,SP,36.0,F,0.0,1,467.3,593.9,482.2,533.4,1.0,280.0
1,1.0,SP,21.0,F,0.0,1,572.3,668.1,621.3,554.6,1.0,560.0
2,1.0,SP,17.0,F,0.0,2,444.1,536.2,340.2,445.4,1.0,460.0
2,1.0,SP,18.0,M,0.0,1,602.2,625.8,587.0,599.6,1.0,480.0
1,,DF,19.0,F,0.0,1,432.7,610.5,632.6,424.2,1.0,600.0
1,1.0,AM,35.0,M,0.0,3,417.3,553.3,536.7,403.9,1.0,300.0
1,1.0,PE,28.0,F,0.0,3,419.7,431.9,480.0,536.6,1.0,480.0
1,1.0,RO,24.0,F,0.0,3,410.9,595.1,496.6,579.8,1.0,340.0
2,1.0,RS,18.0,F,0.0,1,618.4,627.0,533.9,684.7,1.0,620.0
1,1.0,MA,46.0,F,1.0,3,472.1,541.0,413.9,474.6,1.0,360.0
1,1.0,MG,27.0,F,0.0,2,539.7,406.6,503.7,449.8,1.0,480.0
2,1.0,DF,18.0,F,0.0,3,420.7,588.5,579.7,564.2,1.0,540.0
1,1.0,SC,23.0,M,0.0,1,469.5,607.8,507.2,651.3,1.0,820.0
1,3.0,MT,36.0,F,1.0,1,494.2,583.5,452.6,516.0,1.0,540.0
1,1.0,AM,32.0,M,0.0,3,425.7,467.7,402.9,377.3,1.0,320.0
1,1.0,PA,21.0,F,0.0,3,465.7,548.5,475.3,504.6,1.0,520.0
1,1.0,CE,20.0,M,0.0,3,678.4,674.5,615.5,890.2,1.0,540.0
1,1.0,RN,24.0,M,0.0,1,556.8,662.5,638.0,669.7,1.0,840.0
1,,MG,29.0,F,0.0,1,441.9,606.0,412.9,447.1,1.0,380.0
2,1.0,SC,18.0,M,0.0,1,499.2,541.9,545.8,597.5,1.0,540.0
2,1.0,DF,17.0,M,0.0,3,439.5,642.7,621.8,502.2,1.0,640.0
1,,GO,24.0,F,0.0,3,384.4,532.1,465.3,479.5,1.0,320.0
1,1.0,PR,22.0,M,0.0,3,431.8,579.8,529.9,520.7,1.0,580.0
1,,MG,37.0,F,0.0,1,502.5,448.2,469.7,480.1,1.0,340.0
1,1.0,RJ,19.0,M,0.0,2,537.7,660.1,601.9,736.6,1.0,740.0
1,1.0,ES,24.0,M,1.0,3,487.3,472.1,538.1,533.2,1.0,700.0
2,1.0,SP,17.0,M,0.0,1,393.5,486.5,510.1,573.5,1.0,400.0
1,1.0,AL,40.0,F,2.0,3,393.8,540.6,375.1,481.7,1.0,400.0
1,1.0,MA,18.0,F,0.0,2,509.5,508.0,466.4,448.0,1.0,560.0
1,1.0,MG,19.0,F,0.0,2,487.3,585.0,571.9,538.1,1.0,360.0
1,1.0,TO,29.0,F,1.0,3,465.7,620.1,530.5,430.8,1.0,460.0
1,1.0,BA,22.0,F,0.0,2,497.9,532.6,539.6,642.6,1.0,560.0
1,,SC,36.0,F,1.0,1,534.8,591.5,524.0,489.9,1.0,320.0
1,1.0,PE,17.0,F,0.0,2,486.8,644.5,581.6,599.1,1.0,540.0
1,1.0,CE,19.0,F,0.0,1,494.0,651.0,570.7,499.9,1.0,380.0
1,1.0,MA,23.0,M,0.0,1,501.0,459.6,561.1,511.1,1.0,600.0
2,1.0,SC,17.0,F,0.0,1,513.1,628.8,616.7,461.8,1.0,680.0
1,1.0,PA,27.0,M,,2,445.4,608.1,571.5,618.6,1.0,580.0
1,1.0,MG,23.0,F,0.0,3,486.7,605.9,519.2,523.3,1.0,640.0
1,1.0,AL,24.0,M,0.0,3,449.5,427.3,417.2,434.4,1.0,460.0
1,1.0,BA,20.0,M,0.0,0,407.1,632.1,489.5,492.6,1.0,680.0
1,1.0,BA,34.0,F,1.0,3,542.3,673.2,568.3,524.4,1.0,340.0
1,1.0,BA,31.0,F,0.0,3,391.0,557.7,411.4,391.3,1.0,460.0
1,1.0,PI,22.0,F,0.0,2,574.2,615.2,547.5,531.7,1.0,600.0
1,1.0,AM,19.0,F,0.0,1,431.2,673.7,630.2,538.6,1.0,700.0
1,3.0,TO,21.0,M,0.0,3,504.5,515.1,430.3,535.3,1.0,380.0
2,1.0,PR,17.0,M,0.0,3,448.4,548.6,511.2,558.2,1.0,500.0
1,1.0,SP,20.0,F,0.0,1,631.9,666.5,614.5,673.5,1.0,600.0
1,1.0,GO,17.0,F,0.0,2,542.2,666.6,674.5,556.6,1.0,360.0
1,1.0,RJ,32.0,F,1.0,3,443.3,474.1,500.5,398.5,1.0,320.0
1,1.0,PE,25.0,F,0.0,3,630.1,671.0,567.7,727.9,1.0,920.0
1,1.0,GO,22.0,M,0.0,1,565.4,689.8,670.9,693.5,1.0,820.0
1,1.0,CE,19.0,F,0.0,1,550.7,570.3,494.4,464.0,1.0,520.0
2,1.0,BA,20.0,F,,2,481.9,632.7,509.7,441.2,1.0,520.0
1,1.0,PA,29.0,M,0.0,3,483.8,558.2,590.1,652.7,1.0,660.0
1,1.0,AL,28.0,F,0.0,3,478.5,532.6,516.7,620.9,1.0,620.0
2,1.0,BA,19.0,F,0.0,2,557.7,668.4,623.5,624.3,1.0,700.0
1,1.0,PR,18.0,F,0.0,3,456.5,537.6,506.8,427.7,1.0,280.0
1,1.0,CE,20.0,F,0.0,3,395.5,563.7,497.2,505.5,1.0,340.0
1,1.0,SP,35.0,F,1.0,3,444.8,552.5,539.3,469.8,1.0,560.0
1,1.0,BA,21.0,F,0.0,3,431.3,585.0,484.5,403.8,1.0,720.0
1,1.0,MG,20.0,M,0.0,3,611.3,712.9,692.0,611.1,1.0,800.0
1,1.0,RN,19.0,M,0.0,0,565.7,620.9,513.3,518.9,1.0,780.0
1,1.0,PR,18.0,F,0.0,3,370.2,541.0,529.5,456.1,1.0,360.0
2,1.0,SP,18.0,F,0.0,2,480.0,513.0,497.2,438.9,1.0,300.0
1,3.0,SP,25.0,M,,1,513.3,478.4,499.4,585.7,1.0,500.0
1,3.0,PB,18.0,F,0.0,3,453.2,605.0,562.5,568.7,1.0,420.0
1,,MG,16.0,F,0.0,0,404.1,565.6,487.5,431.0,1.0,440.0
1,1.0,MA,18.0,F,0.0,3,566.8,637.4,575.0,636.0,1.0,900.0
1,1.0,PI,21.0,F,1.0,3,406.3,530.2,466.1,502.1,1.0,280.0
1,1.0,MG,20.0,M,0.0,3,591.7,496.3,564.1,513.1,1.0,680.0
1,1.0,AM,39.0,M,0.0,3,458.3,614.4,371.7,477.1,1.0,560.0
1,1.0,PA,21.0,M,0.0,3,447.0,517.8,405.1,443.5,1.0,360.0
1,1.0,SP,25.0,F,0.0,3,422.4,527.3,395.4,524.0,1.0,300.0
1,3.0,RN,30.0,M,0.0,1,428.2,465.3,461.6,395.9,1.0,560.0
1,1.0,BA,21.0,M,1.0,3,476.5,583.1,548.5,525.8,1.0,460.0
1,,MA,16.0,F,0.0,3,389.0,494.2,433.1,513.9,1.0,400.0
1,1.0,MT,31.0,F,0.0,3,483.1,617.0,541.7,494.0,1.0,520.0
1,1.0,CE,24.0,F,0.0,3,572.4,605.4,596.6,494.2,1.0,680.0
1,1.0,RS,18.0,M,0.0,1,479.8,597.2,556.6,617.8,1.0,540.0
1,1.0,GO,24.0,F,0.0,3,454.4,580.8,499.5,599.7,1.0,560.0
1,1.0,SP,17.0,M,0.0,3,441.6,436.7,568.1,639.5,1.0,320.0
1,1.0,AL,17.0,M,0.0,3,594.7,664.0,590.7,446.1,1.0,820.0
1,1.0,MG,19.0,F,0.0,3,609.4,603.5,585.2,721.0,1.0,920.0
1,1.0,PR,21.0,F,0.0,1,679.1,709.9,644.8,754.3,1.0,840.0
1,3.0,SP,42.0,F,0.0,3,415.2,612.8,399.9,403.1,1.0,260.0
1,1.0,SP,19.0,F,0.0,1,457.2,545.2,445.3,482.8,1.0,400.0
1,1.0,AP,19.0,F,,1,471.1,607.7,553.9,523.6,1.0,760.0
1,1.0,BA,31.0,M,0.0,3,484.6,498.1,538.5,574.4,1.0,480.0
1,1.0,MA,18.0,M,0.0,3,539.1,578.9,502.1,500.1,1.0,300.0
1,1.0,SC,26.0,F,0.0,1,533.4,645.6,586.1,452.0,1.0,640.0
1,3.0,CE,30.0,F,1.0,3,437.7,593.3,486.6,558.6,1.0,540.0
1,1.0,MT,21.0,F,0.0,2,388.8,580.0,465.0,509.2,1.0,520.0
1,1.0,MG,20.0,F,0.0,3,427.6,512.4,543.5,400.7,1.0,440.0
1,1.0,MS,18.0,F,0.0,2,542.2,621.1,513.5,530.8,1.0,860.0
1,2.0,SP,24.0,F,0.0,3,386.6,457.9,448.5,530.7,9.0,0.0
1,1.0,DF,38.0,M,1.0,3,462.5,570.3,540.4,682.6,1.0,440.0
1,1.0,CE,23.0,M,0.0,3,495.5,685.3,636.4,723.5,1.0,500.0
2,1.0,SP,17.0,M,0.0,1,559.2,648.9,592.6,671.0,1.0,540.0
1,1.0,BA,21.0,M,0.0,3,414.9,641.3,521.6,407.3,1.0,460.0
